key	0	1	2	3	4	5	6
191711	0.070	0.046	0.134	0.621	0.045	0.066	0.017
191712	0.081	0.054	0.155	0.596	0.057	0.040	0.017
191801	0.062	0.094	0.123	0.572	0.065	0.057	0.028
191802	0.072	0.079	0.164	0.544	0.062	0.064	0.015
191803	0.086	0.094	0.201	0.503	0.066	0.046	0.005
191804	0.058	0.056	0.166	0.607	0.061	0.039	0.013
191805	0.061	0.078	0.148	0.636	0.042	0.024	0.011
191806	0.068	0.103	0.224	0.542	0.035	0.017	0.011
191807	0.085	0.112	0.198	0.516	0.035	0.036	0.018
191808	0.093	0.114	0.184	0.511	0.045	0.034	0.018
191809	0.049	0.066	0.129	0.618	0.079	0.018	0.041
191810	0.000	0.017	0.073	0.810	0.063	0.019	0.016
191811	0.000	0.013	0.068	0.809	0.069	0.026	0.015
191812	0.000	0.019	0.058	0.759	0.131	0.014	0.019
191901	0.000	0.013	0.070	0.811	0.083	0.017	0.006
191902	0.000	0.002	0.028	0.812	0.136	0.022	0.000
191903	0.000	0.002	0.030	0.796	0.130	0.026	0.015
191904	0.000	0.002	0.035	0.771	0.093	0.069	0.030
191905	0.000	0.008	0.081	0.682	0.130	0.068	0.030
191906	0.022	0.052	0.099	0.582	0.094	0.077	0.074
191907	0.047	0.062	0.102	0.491	0.100	0.042	0.156
191908	0.083	0.068	0.096	0.495	0.080	0.032	0.147
191909	0.053	0.048	0.107	0.558	0.066	0.021	0.147
191910	0.000	0.013	0.097	0.630	0.073	0.028	0.158
191911	0.000	0.016	0.076	0.539	0.173	0.040	0.156
191912	0.002	0.004	0.110	0.582	0.113	0.038	0.150
192001	0.002	0.011	0.155	0.524	0.103	0.054	0.150
192002	0.005	0.115	0.029	0.588	0.079	0.056	0.129
192003	0.000	0.031	0.027	0.656	0.098	0.050	0.138
192004	0.000	0.000	0.026	0.580	0.163	0.106	0.126
192005	0.000	0.005	0.043	0.544	0.194	0.075	0.138
192006	0.000	0.004	0.042	0.524	0.185	0.125	0.120
192007	0.000	0.000	0.042	0.581	0.171	0.100	0.107
192008	0.000	0.000	0.021	0.545	0.158	0.109	0.167
192009	0.000	0.000	0.008	0.676	0.119	0.107	0.089
192010	0.000	0.007	0.026	0.685	0.093	0.060	0.130
192011	0.007	0.006	0.033	0.645	0.124	0.102	0.083
192012	0.002	0.009	0.031	0.627	0.161	0.112	0.058
192101	0.005	0.010	0.033	0.659	0.124	0.101	0.069
192102	0.006	0.014	0.046	0.673	0.135	0.092	0.034
192103	0.002	0.014	0.063	0.718	0.115	0.058	0.029
192104	0.000	0.011	0.087	0.733	0.080	0.059	0.030
192105	0.004	0.016	0.072	0.707	0.121	0.058	0.022
192106	0.005	0.039	0.103	0.661	0.073	0.084	0.035
192107	0.015	0.052	0.096	0.599	0.082	0.102	0.054
192108	0.005	0.040	0.097	0.691	0.052	0.061	0.054
192109	0.012	0.044	0.096	0.733	0.051	0.033	0.032
192110	0.006	0.049	0.146	0.728	0.027	0.012	0.032
192111	0.011	0.038	0.177	0.699	0.044	0.015	0.016
192112	0.020	0.058	0.191	0.601	0.088	0.013	0.029
