key,0,1,2,3,4,5,6,row
190705,0,0.01,0.014,0.521,0.15,0.118,0.187,11
190706,0,0.006,0.015,0.529,0.143,0.098,0.209,11
190707,0,0,0.031,0.491,0.127,0.1,0.25,11
190708,0,0.012,0.031,0.475,0.154,0.091,0.238,11
190709,0,0,0.012,0.566,0.118,0.112,0.192,11
190710,0,0,0.017,0.584,0.143,0.092,0.163,11
190711,0,0,0.011,0.604,0.181,0.092,0.112,11
190712,0,0,0.001,0.625,0.209,0.063,0.101,11
190801,0,0,0.009,0.692,0.172,0.058,0.069,11
190802,0,0,0.006,0.638,0.218,0.078,0.059,11
190803,0,0,0.011,0.729,0.138,0.062,0.06,11
190804,0,0,0.027,0.733,0.126,0.067,0.047,11
190805,0,0,0.018,0.599,0.165,0.143,0.075,11
190806,0,0,0.027,0.684,0.098,0.099,0.092,11
190807,0,0,0.019,0.664,0.134,0.086,0.096,11
190808,0,0,0.03,0.606,0.157,0.087,0.12,11
190809,0,0,0.092,0.594,0.155,0.056,0.104,11
190810,0.002,0.042,0.09,0.531,0.128,0.075,0.132,11
190811,0.041,0.057,0.084,0.521,0.095,0.086,0.115,11
190812,0.059,0.048,0.092,0.558,0.111,0.049,0.083,11
190901,0.05,0.049,0.111,0.492,0.108,0.076,0.114,11
190902,0.007,0.03,0.084,0.529,0.149,0.058,0.143,11
190903,0.005,0.02,0.132,0.551,0.135,0.035,0.123,11
190904,0,0.016,0.13,0.58,0.133,0.024,0.116,11
190905,0,0.024,0.129,0.565,0.118,0.045,0.119,11
190906,0,0.039,0.109,0.513,0.166,0.059,0.114,11
190907,0.003,0.025,0.12,0.49,0.134,0.113,0.116,11
190908,0.004,0.026,0.121,0.532,0.109,0.067,0.141,11
190909,0.007,0.079,0.079,0.567,0.072,0.043,0.153,11
190910,0.006,0.084,0.082,0.565,0.099,0.044,0.119,11
190911,0.021,0.073,0.083,0.508,0.093,0.084,0.138,11
190912,0.023,0.025,0.113,0.471,0.102,0.106,0.16,11
191001,0.008,0.025,0.135,0.421,0.149,0.1,0.162,10
191002,0.003,0.02,0.12,0.6,0.081,0.044,0.133,10
191003,0.01,0.083,0.196,0.609,0.006,0.008,0.088,10
191004,0.009,0.072,0.202,0.615,0.006,0.029,0.067,10
191005,0.027,0.059,0.174,0.638,0.012,0.039,0.05,10
191006,0.045,0.073,0.296,0.484,0.035,0.044,0.023,10
191007,0.064,0.114,0.264,0.434,0.072,0.046,0.007,10
191008,0.073,0.158,0.258,0.385,0.082,0.044,0,10
191009,0.113,0.088,0.217,0.484,0.058,0.018,0.022,10
191010,0.122,0.113,0.149,0.498,0.082,0.014,0.022,10
191011,0.156,0.091,0.128,0.533,0.046,0.023,0.022,10
191012,0.14,0.106,0.162,0.524,0.045,0.015,0.007,10
191101,0.166,0.078,0.117,0.491,0.074,0.049,0.026,10
191102,0.105,0.113,0.126,0.48,0.121,0.041,0.013,10
191103,0.114,0.129,0.189,0.419,0.102,0.044,0.003,10
191104,0.099,0.092,0.147,0.511,0.089,0.059,0.003,10
191105,0.086,0.125,0.167,0.49,0.06,0.059,0.012,10
191106,0.131,0.152,0.16,0.397,0.076,0.045,0.038,10
191107,0.116,0.128,0.145,0.384,0.136,0.054,0.038,10
191108,0.066,0.09,0.099,0.637,0.045,0.036,0.027,10
191109,0.065,0.101,0.067,0.648,0.074,0.011,0.034,10
191110,0.028,0.093,0.067,0.62,0.1,0.056,0.036,10
191111,0.021,0.082,0.061,0.638,0.101,0.055,0.042,10
191112,0.003,0.02,0.068,0.718,0.085,0.063,0.042,10
191201,0.006,0.009,0.077,0.716,0.108,0.041,0.042,10
191202,0.003,0.018,0.098,0.674,0.13,0.035,0.043,10
191203,0,0.012,0.035,0.718,0.129,0.045,0.061,10
191204,0,0.008,0.026,0.666,0.169,0.062,0.069,10
191205,0,0.012,0.021,0.645,0.179,0.069,0.074,10
191206,0,0.017,0.034,0.6,0.191,0.083,0.075,10
191207,0,0.009,0.032,0.562,0.175,0.107,0.115,10
191208,0,0,0.032,0.542,0.155,0.126,0.145,10
191209,0,0.003,0.036,0.539,0.151,0.119,0.151,10
191210,0,0.003,0.028,0.572,0.132,0.106,0.159,10
191211,0,0.004,0.05,0.66,0.064,0.089,0.132,10
191212,0,0.006,0.067,0.662,0.074,0.076,0.115,10
191301,0,0.006,0.052,0.626,0.11,0.093,0.113,10
191302,0,0.008,0.041,0.685,0.113,0.06,0.094,10
191303,0.001,0.012,0.021,0.656,0.113,0.074,0.123,10
191304,0,0.012,0.034,0.753,0.066,0.054,0.082,10
191305,0,0.011,0.038,0.765,0.073,0.056,0.057,10
191306,0.008,0.011,0.055,0.737,0.047,0.079,0.063,10
191307,0.008,0.024,0.097,0.647,0.04,0.094,0.09,10
191308,0.025,0.067,0.163,0.539,0.052,0.067,0.087,10
191309,0.012,0.049,0.091,0.609,0.081,0.078,0.08,10
191310,0.003,0.028,0.088,0.622,0.088,0.1,0.071,10
191311,0.008,0.032,0.106,0.607,0.104,0.08,0.064,10
191312,0.012,0.046,0.08,0.57,0.115,0.066,0.11,10
191401,0.019,0.026,0.132,0.513,0.07,0.093,0.147,10
191402,0.015,0.018,0.087,0.579,0.097,0.048,0.156,10
191403,0.009,0.03,0.087,0.592,0.116,0.069,0.097,10
191404,0.008,0.03,0.081,0.58,0.076,0.137,0.088,10
191405,0.009,0.058,0.116,0.523,0.068,0.104,0.122,10
191406,0.027,0.067,0.137,0.409,0.141,0.083,0.134,10
191407,0.046,0.092,0.115,0.376,0.107,0.137,0.127,10
191408,0.033,0.056,0.132,0.43,0.103,0.142,0.105,10
191409,0.008,0.055,0.14,0.499,0.133,0.087,0.077,10
